method,alpha,avg,MNIST,EuroSAT,DTD,GTSRB,SVHN
zero_shot,,0.4865234375,0.5224609375,0.5126953125,0.44921875,0.4267578125,0.521484375
individual,,0.928515625,0.9912109375,0.99609375,0.732421875,0.9697265625,0.953125
task_arithmetic,0.1,0.640625,0.8505859375,0.6767578125,0.482421875,0.5244140625,0.6689453125
task_arithmetic,0.2,0.7263671875,0.9345703125,0.775390625,0.5126953125,0.6591796875,0.75
task_arithmetic,0.3,0.7791015625,0.958984375,0.7880859375,0.5517578125,0.7890625,0.8076171875
task_arithmetic,0.4,0.8017578125,0.9677734375,0.76953125,0.5751953125,0.8447265625,0.8515625
task_arithmetic,0.5,0.807421875,0.9736328125,0.7392578125,0.587890625,0.8681640625,0.8681640625
ties,0.1,0.5455078125,0.64453125,0.5546875,0.466796875,0.470703125,0.5908203125
ties,0.2,0.60625,0.7880859375,0.609375,0.4765625,0.5087890625,0.6484375
ties,0.3,0.6515625,0.875,0.6484375,0.4873046875,0.5537109375,0.693359375
ties,0.4,0.6892578125,0.9208984375,0.6708984375,0.505859375,0.6181640625,0.73046875
ties,0.5,0.719140625,0.9365234375,0.6884765625,0.51171875,0.7021484375,0.7568359375
tsv_compress_sum,0.1,0.637890625,0.849609375,0.6708984375,0.4814453125,0.51953125,0.66796875
tsv_compress_sum,0.2,0.7220703125,0.93359375,0.7705078125,0.5126953125,0.646484375,0.7470703125
tsv_compress_sum,0.3,0.77421875,0.95703125,0.78515625,0.5478515625,0.7783203125,0.802734375
tsv_compress_sum,0.4,0.79921875,0.96875,0.7685546875,0.5693359375,0.841796875,0.84765625
tsv_compress_sum,0.5,0.8037109375,0.9736328125,0.7353515625,0.58203125,0.861328125,0.8662109375
tsv_merge,0.1,0.580859375,0.705078125,0.634765625,0.4833984375,0.482421875,0.5986328125
tsv_merge,0.2,0.6619140625,0.849609375,0.740234375,0.5009765625,0.5517578125,0.6669921875
tsv_merge,0.3,0.722265625,0.9130859375,0.841796875,0.5283203125,0.6171875,0.7109375
tsv_merge,0.4,0.769921875,0.947265625,0.890625,0.5556640625,0.708984375,0.7470703125
tsv_merge,0.5,0.8044921875,0.958984375,0.916015625,0.583984375,0.7783203125,0.78515625
